O,V
423,1
1025,2
1081,2
1004,1
1071,1
274,1
336,1
504,1
236,2
1067,0
1024,1
882,1
786,1
406,0
766,2
529,0
1033,1
857,1
105,0
175,0
127,2
484,2
197,2
728,1
294,2
699,1
70,1
675,2
802,1
722,1
84,2
207,2
1001,1
128,1
429,1
737,1
381,1
734,1
1173,1
1094,1
609,1
330,0
134,1
941,0
340,1
455,1
777,2
247,1
752,4
268,1
382,3
1098,1
230,0
470,0
221,1
1133,1
162,0
14,1
189,1
158,1
1152,0
224,0
1170,1
148,1
8,2
805,4
606,0
188,1
375,1
918,0
54,0
54,1
916,1
976,1
513,2
895,1
193,0
791,0
978,2
302,2
599,1
462,6
1020,3
580,2
257,2
671,1
994,1
185,1
414,0
293,1
1188,0
717,1
1131,1
1622,0
2226,2
2279,1
2206,1
2270,0
1471,1
1537,1
1704,1
1433,1
2266,0
2225,2
2080,1
1986,0
1603,1
1966,2
1730,1
2234,1
2057,2
1299,2
1370,0
1321,1
1684,1
1392,1
1928,1
1493,1
1897,2
1262,1
1875,1
2002,1
1921,0
1275,1
1402,1
2203,1
1322,2
1628,1
1936,1
1578,1
1933,1
2371,1
2292,1
1810,1
1531,0
1328,1
2143,1
1541,0
1653,1
1977,2
1444,3
1952,0
1465,1
1465,2
1579,2
2296,1
1425,1
1670,0
1416,3
2332,1
1357,0
1208,1
1384,1
1353,2
2351,2
1419,0
2368,1
1342,1
1202,1
2006,4
1807,1
1383,1
1573,1
2119,0
1248,2
2116,1
2178,1
1713,1
2093,2
1388,1
1991,0
2180,3
1500,1
1800,1
1661,9
2221,1
1781,1
1455,5
1871,1
2196,1
1380,1
1613,1
1492,1
2387,1
1916,1
2330,1
2734,1
2485,2
3203,1
2778,1
3248,2
3186,1
3242,1
2604,1
2661,0
2975,1
2626,0
2951,1
2446,1
2935,1
3028,0
2971,1
2796,0
2576,2
2454,1
3241,3
2552,1
3087,2
3202,1
3016,1
3183,1
2719,1
2486,2
3003,1
2817,2
3209,1
3066,3
2470,1
2741,0
2982,0
2700,1
2979,1
3331,2
3256,1
2528,0
2883,1
2655,0
2492,0
3010,2
2583,2
2701,2
3260,0
2763,0
2567,1
3292,3
2515,3
2404,9
2537,0
2513,1
3315,3
2571,0
3328,18
2501,1
2397,1
2880,1
2536,1
2694,1
2437,1
3112,1
3160,0
3198,1
2931,1
2805,1
3177,1
3098,1
2534,3
2727,0
2625,2
3346,1
2539,0
2966,1
3290,1
3162,2
2633,1
2874,1
3757,0
3470,2
4301,2
3812,16
4282,1
4351,0
3541,1
3611,1
3673,0
4039,1
3633,1
4008,1
3416,0
3985,1
4104,1
4032,1
3829,1
3580,2
3432,1
4347,2
3551,1
4172,1
4300,1
4089,1
3739,1
3471,2
4074,1
3853,1
4311,0
4148,1
3452,1
3763,1
4048,1
3717,0
4045,1
4447,0
4368,1
3518,0
3925,2
3669,0
3476,1
4224,0
3677,1
3783,1
4082,1
