,O,V
0,"cleveland, ohio, 2000",478403
1,"gary, indiana, 2000",102746
2,"flint, michigan, 2000",124943
3,"compton, california, 2000",93493
4,"washington, district of columbia, 2005",582049
5,"plano, texas, 2000",222030
6,"burlington, wisconsin, 2000",9936
7,"minneapolis, minnesota, 2000",382618
8,"buffalo, new york, 2000",292648
9,"boston, massachusetts, 2005",596638
10,"cincinnati, ohio, 2005",331310
11,"houston, texas, 2005",2076189
12,"jackson, mississippi, 2000",184256
13,"lansing, michigan, 2000",119128
14,"st. louis, missouri, 2005",352572
15,"st. louis, missouri, 2006",353837
16,"salt lake city, utah, 2000",181743
17,"fredericksburg, virginia, 2000",19279
18,"camden, new jersey, 2000",79904
19,"chattanooga, tennessee, 2000",155554
20,"la quinta, california, 2000",23694
21,"muncie, indiana, 2000",67430
22,"tell city, indiana, 2000",7845
23,"evansville, indiana, 2000",121582
24,"marshalltown, iowa, 2000",26009
25,"holliston, massachusetts, 2000",13801
26,"north reading, massachusetts, 2000",13837
27,"winona, minnesota, 2000",27069
28,"sylva, north carolina, 2000",2435
29,"akron, ohio, 2000",217074
30,"allen, texas, 2000",43554
31,"racine, wisconsin, 2000",81855
32,"st. joseph, missouri, 2000",73990
33,"medfield, massachusetts, 2000",12273
34,"marblehead, massachusetts, 2000",20377
35,"reno, nevada, 2000",180480
36,"baltimore, maryland, 2006",640961
37,"utica, new york, 2000",60651
38,"berkeley, california, 2000",102743
39,"st. cloud, minnesota, 2000",59107
40,"new orleans, louisiana, 2000",484674
41,"milwaukee, wisconsin, 2000",596974
42,"grass valley, oregon, 2000",171
43,"carson city, nevada, 2000",52457
44,"minnetonka, minnesota, 2000",51301
45,"vicksburg, mississippi, 2000",26407
46,"indianapolis, indiana, 2000",791926
47,"el monte, california, 2000",115965
48,"lima, ohio, 2000",40081
49,"scranton, pennsylvania, 2000",76415
50,"la crosse, wisconsin, 2000",51818
51,"elmira, new york, 2000",30940
52,"pittsburgh, pennsylvania, 2000",334563
53,"portland, maine, 2000",64249
54,"springfield, massachusetts, 2000",152082
55,"lake forest, california, 2000",58707
56,"sault ste. marie, michigan, 2000",16542
57,"port jervis, new york, 2000",8860
58,"glens falls, new york, 2000",14354
59,"atlanta, georgia, 2005",483108
60,"marquette, michigan, 2000",19661
61,"madison, wisconsin, 2000",208054
62,"norfolk, virginia, 2000",234403
63,"vincennes, indiana, 2000",18701
64,"fairhaven, massachusetts, 2000",16159
65,"rochester, new york, 2000",219773
66,"strasburg, ohio, 2000",2310
67,"medford, oregon, 2000",63154
68,"holland, michigan, 2000",35048
69,"sartell, minnesota, 2000",9641
70,"augusta, maine, 2000",18560
71,"fremont, california, 2000",203413
72,"binghamton, new york, 2000",47380
73,"torrance, california, 2000",137946
74,"san juan capistrano, california, 2000",33826
75,"gilroy, california, 2000",41464
76,"douglasville, georgia, 2000",20065
77,"havre de grace, maryland, 2000",11331
78,"muskegon, michigan, 2000",40105
79,"nashua, new hampshire, 2000",86605
80,"peterborough, new hampshire, 2000",5883
81,"wenatchee, washington, 2000",27856
82,"little rock, arkansas, 2000",183133
83,"dunstable, massachusetts, 2000",2829
84,"montague, michigan, 2000",2407
85,"winston-salem, north carolina, 2000",185776
86,"st. marys, ohio, 2000",8342
87,"edinburg, texas, 2000",48465
88,"summerville, south carolina, 2000",27752
89,"bellingham, washington, 2000",67171
90,"jefferson city, missouri, 2000",39636
91,"raleigh, north carolina, 2000",276093
92,"virginia beach, virginia, 2000",425257
93,"manteca, california, 2000",49258
94,"bowling green, kentucky, 2000",49296
95,"beverly, massachusetts, 2000",39862
96,"saginaw, michigan, 2000",61799
97,"valley stream, new york, 2000",36368
98,"white plains, new york, 2000",53077
99,"fargo, north dakota, 2000",90599
100,"dundee, oregon, 2000",2598
101,"fort mill, south carolina, 2000",7587
102,"albion, idaho, 2000",262
103,"schaumburg, illinois, 2000",75386
104,"savage, minnesota, 2000",21115
105,"woodbury, minnesota, 2000",46463
106,"melrose, massachusetts, 2000",27134
107,"crawfordsville, indiana, 2000",15243
108,"cambridge, massachusetts, 2000",101355
109,"williamsburg, virginia, 2000",11998
110,"villa park, california, 2000",5999
111,"montgomery, alabama, 2000",201568
112,"lake oswego, oregon, 2000",35278
113,"lewiston, maine, 2000",35690
114,"newark, new jersey, 2000",273546
115,"terre haute, indiana, 2000",59614
116,"salina, kansas, 2000",45679
117,"lincoln park, michigan, 2000",40008
118,"massillon, ohio, 2000",31325
119,"norman, oklahoma, 2000",95694
120,"muskogee, oklahoma, 2000",38310
