,F,R,S,V
215344,7.0,35,0.0,1.0
242461,7.0,35,1.0,1.0
215367,7.0,a1pizzashop,0.0,1.0
227354,7.0,a1pizzashop,4.0,1.0
241132,7.0,a1pizzashop,7.0,1.0
215357,7.0,ackitchen,0.0,1.0
227329,7.0,ackitchen,4.0,1.0
241126,7.0,ackitchen,7.0,1.0
215358,7.0,acafe,0.0,1.0
238551,7.0,acafe,8.0,1.0
215360,7.0,acasafox,0.0,1.0
221262,7.0,acasafox,2.0,1.0
239562,7.0,acasafox,6.0,1.0
241127,7.0,acasafox,7.0,1.0
215361,7.0,alaturka,0.0,1.0
221263,7.0,alaturka,2.0,1.0
227344,7.0,alaturka,4.0,1.0
241128,7.0,alaturka,7.0,1.0
215362,7.0,asaltbattery,0.0,1.0
221264,7.0,asaltbattery,2.0,1.0
223841,7.0,asaltbattery,3.0,1.0
227348,7.0,asaltbattery,4.0,1.0
235770,7.0,asaltbattery,5.0,0.0
242501,7.0,asaltbattery,1.0,1.0
215363,7.0,asliceofnewyork,0.0,1.0
227349,7.0,asliceofnewyork,4.0,1.0
234085,7.0,asliceofnewyork,11.0,1.0
215364,7.0,atasteofseafood,0.0,1.0
223842,7.0,atasteofseafood,3.0,1.0
227350,7.0,atasteofseafood,4.0,1.0
215365,7.0,avoce,0.0,1.0
221265,7.0,avoce,2.0,1.0
223844,7.0,avoce,3.0,1.0
233136,7.0,avoce,9.0,1.0
234086,7.0,avoce,11.0,1.0
234971,7.0,avoce,10.0,1.0
235771,7.0,avoce,5.0,1.0
238552,7.0,avoce,8.0,1.0
241130,7.0,avoce,7.0,1.0
242502,7.0,avoce,1.0,1.0
215368,7.0,abboccato,0.0,1.0
221268,7.0,abboccato,2.0,1.0
223845,7.0,abboccato,3.0,1.0
233139,7.0,abboccato,9.0,1.0
234972,7.0,abboccato,10.0,1.0
235774,7.0,abboccato,5.0,1.0
238554,7.0,abboccato,8.0,1.0
239565,7.0,abboccato,6.0,1.0
241133,7.0,abboccato,7.0,1.0
242506,7.0,abboccato,1.0,1.0
215369,7.0,abbondanzas,0.0,0.0
221269,7.0,abbondanzas,2.0,1.0
215370,7.0,abigaelsonbroadway,0.0,1.0
241134,7.0,abigaelsonbroadway,7.0,1.0
242507,7.0,abigaelsonbroadway,1.0,1.0
215374,7.0,abitinospizzeria,0.0,1.0
242510,7.0,abitinospizzeria,1.0,1.0
215376,7.0,abraco,0.0,1.0
241137,7.0,abraco,7.0,1.0
242512,7.0,abraco,1.0,1.0
215378,7.0,aburiyakinnosuke,0.0,1.0
221272,7.0,aburiyakinnosuke,2.0,1.0
235777,7.0,aburiyakinnosuke,5.0,1.0
239568,7.0,aburiyakinnosuke,6.0,1.0
241139,7.0,aburiyakinnosuke,7.0,1.0
242516,7.0,aburiyakinnosuke,1.0,1.0
215379,7.0,acappella,0.0,1.0
221273,7.0,acappella,2.0,1.0
223849,7.0,acappella,3.0,1.0
227374,7.0,acappella,4.0,1.0
233141,7.0,acappella,9.0,1.0
242518,7.0,acappella,1.0,1.0
215381,7.0,accademiadivino,0.0,1.0
221274,7.0,accademiadivino,2.0,1.0
234091,7.0,accademiadivino,11.0,1.0
234974,7.0,accademiadivino,10.0,1.0
235778,7.0,accademiadivino,5.0,1.0
239569,7.0,accademiadivino,6.0,1.0
241141,7.0,accademiadivino,7.0,1.0
242519,7.0,accademiadivino,1.0,1.0
215383,7.0,aceluck,0.0,1.0
221275,7.0,aceluck,2.0,1.0
134674,4.0,aceseightssaloon,4.0,0.0
215384,7.0,aceseightssaloon,0.0,1.0
215385,7.0,acmebargrill,0.0,1.0
221276,7.0,acmebargrill,2.0,1.0
223850,7.0,acmebargrill,3.0,1.0
227377,7.0,acmebargrill,4.0,1.0
241142,7.0,acmebargrill,7.0,1.0
242522,7.0,acmebargrill,1.0,1.0
215386,7.0,acqua,0.0,1.0
221277,7.0,acqua,2.0,1.0
227381,7.0,acqua,4.0,1.0
235780,7.0,acqua,5.0,1.0
238555,7.0,acqua,8.0,1.0
239571,7.0,acqua,6.0,1.0
241143,7.0,acqua,7.0,1.0
242523,7.0,acqua,1.0,1.0
215387,7.0,acquaatpeckslip,0.0,1.0
