,pi,mv,em,g,g_f
0,1.0,0.6939079365079374,0.7983279067134894,0.8512127977610702,0.7965938537217773
1,1.0,0.6814468253968253,0.7750718180086669,0.8272679079042093,0.7474498863986508
2,0.95,0.6661492063492068,0.7388839424641289,0.7874744469094199,0.7353110650903169
3,0.95,0.6787674603174599,0.7713488189324383,0.8317871206635387,0.7834668334037802
4,0.9,0.6706896825396825,0.7531221861917469,0.825394472893168,0.7918660936433458
5,0.9,0.6720547619047617,0.7556060809811926,0.8423137081812703,0.7609956073936082
6,0.85,0.6424039682539688,0.6966481902493875,0.7489736016727411,0.7324667230402401
7,0.85,0.6490253968253971,0.7113380624052035,0.7733335210434195,0.7063765953325541
8,0.8,0.613275396825397,0.6409253386598397,0.6856127406637739,0.6831642351630431
9,0.8,0.6099142857142856,0.6090786766671312,0.7008710156635634,0.6731025556278464
10,0.75,0.5995095238095242,0.6195108420028678,0.6786004724311876,0.6371875730368666
11,0.75,0.5988714285714289,0.6291398039810147,0.6981309885611411,0.6496233276516928
12,0.7,0.5656936507936507,0.529511884104894,0.6131868133144587,0.6066848298542127
13,0.7,0.5811015873015872,0.5826716262084367,0.6478144222743012,0.6230597723242939
0,1.0,0.7104563492063486,0.8236377602442475,0.868806782961309,0.7973481028142693
1,1.0,0.700419841269842,0.8019865029381104,0.8607635155331878,0.8010247946386289
2,0.95,0.6870134920634924,0.7844048818137705,0.849883704995473,0.8143649416862571
3,0.95,0.6846730158730165,0.7801107212365863,0.8397189985821457,0.7977358697385275
4,0.9,0.6605674603174602,0.7338766968242549,0.7862514990570189,0.7589664784823531
5,0.9,0.6639634920634927,0.7337357721911701,0.8011846757335157,0.7396211856537325
6,0.85,0.6309849206349205,0.6869861193584732,0.7500624993510279,0.7038604166866834
7,0.85,0.6401698412698411,0.6890033036925802,0.7546998912009903,0.7150459212667175
8,0.8,0.6234563492063498,0.6523337043861421,0.7247278821268974,0.6990723819951719
9,0.8,0.6369222222222228,0.6849279124293097,0.7676063349956193,0.696802925239937
10,0.75,0.5933452380952384,0.6113075881880284,0.6553287060828075,0.6365637744402737
11,0.75,0.6059492063492069,0.6243966193201733,0.685693233469433,0.6465815807597434
12,0.7,0.5825777777777782,0.5898239359974857,0.6594297923740602,0.6360643264860257
13,0.7,0.5854857142857143,0.5107810479297731,0.6220622431900835,0.6340146472314145
0,1.0,0.6867817460317465,0.7860610853253445,0.8450555617002363,0.7740819216953045
1,1.0,0.694066666666667,0.7901961876902697,0.8331249113943144,0.7665182068649575
2,0.95,0.6693587301587307,0.759169083181089,0.8110235761918524,0.7518062108249275
3,0.95,0.6698523809523813,0.7397614481676007,0.8010088216008107,0.7452604691207172
4,0.9,0.6676142857142858,0.7386697657207848,0.8002221375667637,0.7391499562791541
5,0.9,0.6447992063492062,0.7193525670082168,0.7743960787062021,0.7218129480787152
6,0.85,0.6438039682539684,0.6902775788709856,0.7582902763120427,0.7193906968689416
7,0.85,0.6343936507936515,0.689082969869684,0.7496915898876362,0.6563618997268532
8,0.8,0.6173746031746039,0.6365862816383462,0.7016680860593822,0.6421075438256766
9,0.8,0.6139563492063493,0.6336792610298034,0.7096511721416432,0.6546183685419292
10,0.75,0.6126571428571423,0.6078897451923725,0.690243339444504,0.6534541258346354
11,0.75,0.5966674603174599,0.6000754486981971,0.662691645897674,0.6430945785349396
12,0.7,0.5847007936507935,0.569544227130209,0.6500189908888536,0.6365200293523618
13,0.7,0.5894000000000003,0.5851517351701769,0.6806178757983588,0.6613072499497925
0,1.0,0.6971920634920634,0.8090958707077375,0.861429485325174,0.8101260535025594
1,1.0,0.715009523809524,0.8384900545278035,0.8914693184704925,0.8502035237128107
2,0.95,0.6853388888888889,0.7819330271294062,0.8393658548536926,0.8149261435384659
3,0.95,0.6813380952380959,0.7805315111138332,0.8517997497686014,0.7691739848988774
4,0.9,0.6599293650793651,0.7268380137113384,0.7982877307772641,0.7589897799785172
5,0.9,0.6599619047619053,0.7389813563182102,0.8088783839464373,0.7589249460360572
6,0.85,0.6424293650793653,0.6984753772779705,0.7687517843439053,0.6739730661848091
7,0.85,0.648697619047619,0.6956897462639184,0.7900435116080262,0.7158350366833754
8,0.8,0.6176460317460314,0.655089676478096,0.7153347466491724,0.6777142124490461
9,0.8,0.6217357142857146,0.6418115226071266,0.7145293856018624,0.6685547341292254
10,0.75,0.611377777777778,0.6499563516375715,0.7127510677511231,0.6997762303794007
11,0.75,0.6063896825396828,0.6256288630075535,0.6913897077013956,0.6746928676958538
12,0.7,0.5871,0.6040629233446855,0.6603333479654984,0.6303879305540245
13,0.7,0.5831380952380946,0.5834620435749676,0.6442788941040523,0.6111747528007344
