,pi,mv,em,em_f,gf
0,1.0,0.6641666666666668,0.6778010263656515,0.5605104586336013,0.6539732825714578
1,1.0,0.6658333333333334,0.5225751431649615,0.5081254463975561,0.5617789453005889
2,0.95,0.66,0.7600631132275798,0.6764974792346466,0.5956002487885589
3,0.95,0.6208333333333333,0.5214762017110436,0.6044907888649764,0.5890755138450756
4,0.9,0.7341666666666666,0.7042405363895807,0.6736600901663906,0.7449915469419867
5,0.9,0.6041666666666667,0.3487651335651048,0.5618359359776514,0.6273364986941322
6,0.85,0.6708333333333333,0.7259195212443068,0.6981417193238857,0.6655768426399239
7,0.85,0.6366666666666666,0.5411141114047787,0.5464784633140711,0.6098241541757462
8,0.8,0.6433333333333333,0.7092194979487296,0.6845389965774366,0.6649792066629769
9,0.8,0.7208333333333332,0.8787660356716742,0.8044240147827381,0.7187381775927386
10,0.75,0.5891666666666666,0.5432505161641874,0.5288259521311084,0.6006141496475441
11,0.75,0.6791666666666667,0.7110409021710604,0.7370335231130062,0.8102323890605454
12,0.7,0.7391666666666666,0.6986803934757368,0.7425432106539106,0.7750048200402779
13,0.7,0.6025,0.7000851707659544,0.6442866488823278,0.6400036252972521
14,0.65,0.6008333333333333,0.6228168149517126,0.5571340305509813,0.6797047322899591
15,0.65,0.7083333333333333,0.6588752211238735,0.5737872960325728,0.7500957208093165
16,0.6,0.5766666666666668,0.5776830267337957,0.5315109694929482,0.5850054969797045
17,0.6,0.6391666666666668,0.6653803373342919,0.6930125165125579,0.6450080951966418
18,0.55,0.6108333333333333,0.5467619874146884,0.639345596549454,0.6104802152921123
19,0.55,0.5816666666666667,0.7036038830091941,0.6235155585337708,0.6554769824009814
20,0.5,0.5900000000000001,0.4942747102327364,0.47824344077492736,0.5100096340197295
21,0.5,0.5566666666666665,0.6581344400283999,0.6418829700462281,0.5249954611791557
0,1.0,0.6916666666666667,0.6776979156030624,0.6413261119475618,0.616588334882106
1,1.0,0.6833333333333333,0.6862652028553651,0.696319086979255,0.6780700127620061
2,0.95,0.72,0.8294337093698836,0.7806158837172996,0.6965205224770137
3,0.95,0.7625,0.7758187383745507,0.743490452168139,0.7240573933558628
4,0.9,0.6591666666666666,0.681829024970944,0.6226404896635548,0.6499485465400522
5,0.9,0.7091666666666666,0.7715056958511226,0.5228386927747648,0.7249268071446104
6,0.85,0.6208333333333333,0.6645084622973972,0.6116806182303097,0.6399996994770657
7,0.85,0.6091666666666666,0.6811871231891227,0.6287441446106515,0.5932467871492494
8,0.8,0.6725,0.6471963958507017,0.6842314299613105,0.7450029462524381
9,0.8,0.6675,0.6369720515237842,0.7320298074605895,0.6649990738497709
10,0.75,0.6925,0.6795443487126819,0.69222020605992,0.72500162650185
11,0.75,0.7091666666666667,0.7476941598109752,0.7796034145433526,0.8000415285226514
12,0.7,0.6475,0.6811117965963095,0.7180756653282466,0.6100037226817118
13,0.7,0.5658333333333333,0.4631496302520531,0.6274016005988413,0.5699951598987961
14,0.65,0.7116666666666667,0.799115695878722,0.7792959393355007,0.750338479617335
15,0.65,0.5883333333333334,0.5901420539770525,0.5639787531740967,0.6450001000513892
16,0.6,0.8241666666666667,0.8661779781272643,0.7992075538401939,0.830147879961415
17,0.6,0.6074999999999999,0.7350338546376174,0.6788815109881539,0.6300064959927025
18,0.55,0.655,0.6373731944108292,0.611708085090767,0.7043817627222928
19,0.55,0.5691666666666666,0.4573706729377437,0.448511175486657,0.612665818634681
20,0.5,0.6266666666666666,0.5378311321162005,0.5452648754692614,0.5943266919031197
21,0.5,0.6866666666666668,0.6003124570278336,0.5921017953020973,0.67497088746666
0,1.0,0.7983333333333333,0.7749836864710328,0.8773418311756807,0.7751622722216995
1,1.0,0.8141666666666666,0.8952411380084389,0.7905546836109897,0.8432771294761056
2,0.95,0.6808333333333334,0.7064562091265417,0.6970451144100205,0.6901968635557832
3,0.95,0.7024999999999999,0.6864770652502071,0.6442627259115414,0.7358523851075854
4,0.9,0.7074999999999999,0.7017351827373636,0.7179141720317692,0.7547417602822506
5,0.9,0.6683333333333333,0.659245535876217,0.7230436812229256,0.6249999933068363
6,0.85,0.6841666666666667,0.6411372751820761,0.6497405575855025,0.6253888354600664
7,0.85,0.6400000000000001,0.7539917270948552,0.6515236603033168,0.6849998127011869
8,0.8,0.6208333333333332,0.7262510466962355,0.7007411947131075,0.6815284337018908
9,0.8,0.6041666666666666,0.4693242700397544,0.609482490213563,0.5728311678295246
10,0.75,0.6666666666666666,0.7097813780237572,0.6763711910636926,0.6950001372319813
11,0.75,0.7525000000000001,0.6547406087299896,0.7225664264191441,0.7653691338056449
12,0.7,0.7499999999999999,0.74198399555269,0.6855883075372248,0.790000026058761
13,0.7,0.5725,0.6564510361035536,0.5205769622353748,0.5499999811958555
14,0.65,0.5641666666666667,0.2846443221551259,0.6327759915146443,0.5236461019555949
15,0.65,0.62,0.5625312732309448,0.5474363742431254,0.5849995515271971
16,0.6,0.5233333333333333,0.5129890757408273,0.5170391094122705,0.5650000036893196
17,0.6,0.6258333333333332,0.6880491390618392,0.5779407624296871,0.6799999495156908
18,0.55,0.5058333333333334,0.43865946640314385,0.4240367471179359,0.5398561633330856
19,0.55,0.6583333333333334,0.4943693436215833,0.537528413748364,0.6899992290992898
20,0.5,0.5999999999999999,0.7429316955865612,0.6606476680918185,0.6499983828021266
21,0.5,0.6683333333333333,0.7625521869043347,0.5955615043493644,0.6249997380723586
0,1.0,0.6849999999999999,0.6887629979735783,0.7331433690077447,0.6749508127283422
1,1.0,0.695,0.6274162362208532,0.5563698857910409,0.6999808451224201
2,0.95,0.6191666666666666,0.6423129882785008,0.6142134456081642,0.6072597103347388
3,0.95,0.6400000000000001,0.6794363925059914,0.6622711677353548,0.6399653620753587
4,0.9,0.6249999999999999,0.7643925168928818,0.4969932022242281,0.6396310704147482
5,0.9,0.6516666666666667,0.7208183603641918,0.5765823047913392,0.725011939952301
6,0.85,0.7274999999999999,0.742345362898496,0.7249359872870851,0.7050749645306956
7,0.85,0.6583333333333334,0.6974807838628918,0.6938478548035667,0.6831914908702043
8,0.8,0.7150000000000001,0.8264851196946423,0.7925325545167378,0.7599668991612814
9,0.8,0.6575000000000001,0.6250731318526934,0.48773464819296664,0.5699986636177096
10,0.75,0.4791666666666667,0.6021264000474182,0.5133230063051497,0.5300088620943529
11,0.75,0.5691666666666666,0.5458329663127606,0.5173619613207288,0.6149081591809095
12,0.7,0.7025,0.7129962238492333,0.705023300330119,0.6880384098550213
13,0.7,0.5783333333333334,0.4937660389011632,0.5199142048544749,0.5850307513130033
14,0.65,0.6666666666666666,0.6112166845350634,0.6641850955036063,0.6198162075097524
15,0.65,0.6375000000000001,0.5876766871287933,0.5171801784998871,0.5959643661045221
16,0.6,0.6141666666666667,0.767031573720809,0.6625572181793297,0.7233437573830528
17,0.6,0.675,0.6248115024211118,0.7016947690818746,0.7200776768998658
18,0.55,0.6158333333333335,0.4674053752326908,0.4974797870277391,0.6056515733062046
19,0.55,0.6541666666666666,0.6266522483268573,0.6257453672311482,0.7124996202164114
20,0.5,0.5958333333333333,0.7375062287866908,0.6778310862298212,0.7100538767414889
21,0.5,0.6566666666666667,0.517646630170397,0.5180924757052341,0.6389928128732894
