,g_true,em_it,g_it,gf_it
0,0.0,4,5,13
1,0.0,3,4,6
2,0.0,3,4,30
3,0.0,3,4,30
4,0.0,4,4,30
5,0.0,3,4,6
6,0.0,4,4,7
7,0.0,3,4,30
8,0.0,3,4,7
9,0.0,3,5,6
10,0.1,5,5,6
11,0.1,4,5,5
12,0.1,4,5,6
13,0.1,3,4,5
14,0.1,4,5,7
15,0.1,4,5,5
16,0.1,5,4,7
17,0.1,6,5,6
18,0.1,6,4,6
19,0.1,5,5,7
20,0.2,6,4,6
21,0.2,5,5,7
22,0.2,8,5,5
23,0.2,6,5,6
24,0.2,4,4,6
25,0.2,11,5,8
26,0.2,6,6,7
27,0.2,6,5,7
28,0.2,11,5,7
29,0.2,6,5,6
30,0.3,4,5,5
31,0.3,9,6,6
32,0.3,10,5,6
33,0.3,11,6,6
34,0.3,9,5,7
35,0.3,5,5,6
36,0.3,9,5,6
37,0.3,8,5,7
38,0.3,15,7,7
39,0.3,8,7,9
40,0.4,9,5,7
41,0.4,9,5,7
42,0.4,10,7,8
43,0.4,8,6,8
44,0.4,10,6,8
45,0.4,11,7,9
46,0.4,11,5,10
47,0.4,9,6,8
48,0.4,9,5,8
49,0.4,19,6,8
50,0.5,10,7,6
51,0.5,16,5,6
52,0.5,11,8,7
53,0.5,18,7,7
54,0.5,9,5,6
55,0.5,7,6,6
56,0.5,6,5,5
57,0.5,13,6,6
58,0.5,21,9,11
59,0.5,8,6,6
60,0.6,20,6,7
61,0.6,11,5,5
62,0.6,8,6,7
63,0.6,6,5,7
64,0.6,19,6,6
65,0.6,30,6,15
66,0.6,9,5,7
67,0.6,11,6,7
68,0.6,15,6,6
69,0.6,12,8,7
70,0.7,9,6,6
71,0.7,11,8,10
72,0.7,8,5,8
73,0.7,10,6,6
74,0.7,8,6,5
75,0.7,7,5,6
76,0.7,15,5,5
77,0.7,7,5,6
78,0.7,7,6,9
79,0.7,11,6,7
80,0.8,6,5,5
81,0.8,6,5,5
82,0.8,7,4,4
83,0.8,10,6,5
84,0.8,7,5,5
85,0.8,6,5,5
86,0.8,6,5,5
87,0.8,8,5,5
88,0.8,4,5,4
89,0.8,7,5,5
90,0.9,4,5,4
91,0.9,6,5,5
92,0.9,5,4,4
93,0.9,10,5,4
94,0.9,6,5,4
95,0.9,6,4,3
96,0.9,4,5,4
97,0.9,7,4,4
98,0.9,4,4,4
99,0.9,6,4,4
100,1.0,3,4,4
101,1.0,3,4,4
102,1.0,3,5,4
103,1.0,5,4,4
104,1.0,3,4,5
105,1.0,5,4,4
106,1.0,5,4,5
107,1.0,3,4,4
108,1.0,4,4,5
109,1.0,4,4,4
