,pi,mv,em,g,gf
0,1.0,0.8029999999999995,0.9984072563036066,0.9977687187848118,0.998070943522526
1,1.0,0.79,0.9997954457755935,0.999750257194723,0.9997526732513354
2,1.0,0.8059999999999999,0.9997520067644612,0.9997477266574014,0.9997591851461448
3,1.0,0.7879999999999998,0.9951026181522377,0.995448021187222,0.9991724480823643
4,1.0,0.797,0.9968594629688393,0.9962312413808879,0.9911739974955621
5,0.95,0.8039999999999996,0.9999052386754108,0.9998692164726922,0.9998347371040435
6,0.95,0.78,0.9977401971783664,0.9981591380034073,0.9874832869227038
7,0.95,0.7579999999999998,0.9969394740183142,0.995188614952081,0.9993316109708301
8,0.95,0.7539999999999998,0.990281409410981,0.9903838790166151,0.9905238758681257
9,0.95,0.7620000000000001,0.9982194545631653,0.9982347124066361,0.998897406714501
10,0.9,0.7299999999999995,0.9825726996580626,0.983422366526741,0.9804693601116151
11,0.9,0.7409999999999998,0.9854620315168959,0.9843763300208023,0.9844575140681361
12,0.9,0.7469999999999996,0.9775483305371231,0.9783162425121782,0.9798142989168618
13,0.9,0.7170000000000002,0.976321614646017,0.9777946374219953,0.9858334529778968
14,0.9,0.7360000000000001,0.9783170870357809,0.9781841760995116,0.9783544800293379
15,0.85,0.6880000000000002,0.9608721759105744,0.9552907446412383,0.9677035365675412
16,0.85,0.6910000000000003,0.9755298372633565,0.9633065073196571,0.974700587927979
17,0.85,0.7090000000000001,0.9684741207687513,0.9646818935165554,0.9706805563819003
18,0.85,0.6979999999999997,0.9738217244167825,0.9732666097767209,0.9647522798910794
19,0.85,0.7339999999999998,0.9722086990680785,0.9678577217751175,0.9724081887536414
20,0.8,0.6930000000000001,0.9593655438640196,0.9569832579223871,0.9666034080093748
21,0.8,0.684,0.9451119498545455,0.9434565051459339,0.9448827292641405
22,0.8,0.6900000000000003,0.9501353475305252,0.9458981379937291,0.9437021448317721
23,0.8,0.6680000000000001,0.9439691376841687,0.9438135368895537,0.9704847635849759
24,0.8,0.6700000000000002,0.9330785287014985,0.9268248035524161,0.9244471372448521
25,0.75,0.6140000000000003,0.8616780350965496,0.8643631581247829,0.8957293705480042
26,0.75,0.6300000000000003,0.8508689348385252,0.8480115582335968,0.8520470843443729
27,0.75,0.6490000000000002,0.914816576539147,0.8967363878364291,0.9543509692391453
28,0.75,0.6440000000000002,0.9043639039234092,0.8976522695269238,0.9447756521142789
29,0.75,0.6310000000000003,0.8924693862439926,0.8902951710338028,0.9221726028527425
30,0.7,0.6370000000000001,0.854360450183931,0.8585282215836781,0.8341782975111832
