mv,em,g,obj_numb,s
0.162432909012,1.43694901466,1.6756799221,100,10
0.844856977463,7.36247897148,8.66367506981,500,10
1.77833795547,15.3488149643,18.6780722141,1000,10
6.44982600212,72.2959480286,72.7747910023,3000,10
12.8465251923,106.080054998,149.447857141,5000,10
20.3475937843,166.829201937,244.302321911,7000,10
34.051432848,356.499853134,416.564306974,10000,10
45.3700129986,477.177030802,582.220099211,12000,10
64.6042230129,508.849151134,994.035893917,15000,10
104.97132206,1075.63660192,1397.639328,20000,10
153.060806036,1567.27187014,1957.7700541,25000,10
203.572484016,2036.04956698,3354.36230397,30000,10
