,pi,mv,em,g,g_f
0,1.0,0.7069753968253973,0.8204114740145662,0.8819178377247372,0.8386690989525458
1,1.0,0.7051051587301584,0.8159093174537446,0.8657901870128868,0.7135485556880881
2,1.0,0.7066599206349212,0.8118549062002486,0.8581296398229703,0.7503045239059567
3,0.95,0.6843587301587295,0.7780141036790742,0.8426784072584687,0.825995066604394
4,0.95,0.6782492063492054,0.7707125767816558,0.8243379607781216,0.8302277423131434
5,0.95,0.673679761904761,0.7642650415333306,0.8257174496630675,0.8068522026286225
6,0.9,0.6622587301587298,0.7349098479094724,0.7991274989636972,0.8008481499373994
7,0.9,0.6566555555555552,0.7254837139032777,0.7995352133706526,0.7185412469364942
8,0.9,0.6608547619047612,0.7319558031459209,0.7989643009984787,0.7649894143641172
9,0.85,0.6387281746031739,0.6967647028275864,0.760046576764702,0.7098156217964661
10,0.85,0.6329869047619042,0.6895548442722631,0.7547810521647681,0.6807380216097428
11,0.85,0.6436551587301587,0.6979586972939338,0.7902731141751076,0.683156402807602
12,0.8,0.6237730158730156,0.6597649410508736,0.7347950790577519,0.7225803799299948
13,0.8,0.6118499999999999,0.6420082865782993,0.7093006616258328,0.7083246556654308
14,0.8,0.6292781746031744,0.6735493677128646,0.7394620107332592,0.7121550157527999
15,0.75,0.5981011904761908,0.6182610043641614,0.681323210548461,0.6577162881366465
16,0.75,0.594459126984127,0.6091919618954176,0.658068874960324,0.6771447468494618
17,0.75,0.590438492063493,0.5861205717473312,0.6667598929959107,0.6667596226441186
18,0.7,0.5838642857142855,0.5752180785072133,0.6772880390399334,0.6279147266844827
19,0.7,0.5846853174603172,0.5688946805033062,0.6617502100693652,0.6358309691972226
20,0.7,0.5847527777777783,0.5846341959387336,0.6201165991667906,0.6468950572643595
0,1.0,0.7066111111111103,0.8145042094419221,0.8602329768870026,0.6693080579091675
1,1.0,0.696419444444444,0.8008943811443678,0.8495128675775317,0.8439494253022859
2,1.0,0.7045535714285713,0.820722380520123,0.8783117467194007,0.8619990598891057
3,0.95,0.6800488095238084,0.7687080182866801,0.8444042002673043,0.7485793439210203
4,0.95,0.6931753968253965,0.796521196952428,0.8553312217680238,0.7003878872121931
5,0.95,0.6858773809523793,0.7833392370267488,0.8479940929307499,0.7105916126449788
6,0.9,0.6554869047619054,0.7234721461762738,0.7728788560815052,0.7219231236633783
7,0.9,0.670223015873015,0.750735253738555,0.821910853800242,0.796511637373164
8,0.9,0.660787698412699,0.7337723942307167,0.7860192834608908,0.7902912812141241
9,0.85,0.6409809523809522,0.6971451551795741,0.7689394005988296,0.7372385033566939
10,0.85,0.6363055555555549,0.6950417004370215,0.7538738203595938,0.7421708660745476
11,0.85,0.6351365079365073,0.672866475446412,0.7621415213457536,0.6837707326959971
12,0.8,0.6222488095238093,0.6536549638854117,0.7160928920380458,0.6664675818793238
13,0.8,0.6172587301587302,0.6470064890170248,0.7456320731816407,0.6971494292081554
14,0.8,0.617873015873016,0.6523418020927874,0.7314092222480558,0.6330094020922854
15,0.75,0.589900793650794,0.6010041739265024,0.6704959461695154,0.624100066767949
16,0.75,0.596070238095238,0.6118464355794125,0.6795557307389368,0.680278952465243
17,0.75,0.6120730158730158,0.6281404384447395,0.677114185013229,0.6574619897279909
18,0.7,0.5857246031746034,0.5920695797663298,0.6624133973547557,0.6534740086815478
19,0.7,0.566978968253969,0.5559796899998491,0.5827499304434363,0.6004632060637463
20,0.7,0.582890476190476,0.5652409828717486,0.6255599442695419,0.6474066804163648
0,1.0,0.7020341269841255,0.8085098340274816,0.8602745199014201,0.7220987693151887
1,1.0,0.69935873015873,0.8037529490849347,0.8568354431813601,0.7790415326165591
2,1.0,0.696639682539682,0.798672524606748,0.8514356946150686,0.7592764522532003
3,0.95,0.6739702380952374,0.7626119081345168,0.8343992626802128,0.6889461480483501
4,0.95,0.6890361111111112,0.7880756582344605,0.8541508597909114,0.7093441652487322
5,0.95,0.6746857142857138,0.7665932012667185,0.8237019996530235,0.7362034388653614
6,0.9,0.6623924603174604,0.7346089561350735,0.789312554465836,0.7533308525710852
7,0.9,0.674077777777777,0.7550474232270514,0.8086626758208567,0.7121986215523066
8,0.9,0.661192460317459,0.736918299635285,0.8028593628667033,0.7150573373379329
9,0.85,0.6385944444444442,0.6849402433936677,0.7624848555330996,0.6221694168364793
10,0.85,0.6459420634920632,0.6953435154776972,0.7865777472178561,0.7113645850002622
11,0.85,0.6447027777777783,0.7061676823104195,0.7875716961682766,0.7467678147145466
12,0.8,0.6184206349206346,0.6546415376556981,0.7320866514046745,0.6711011107120582
13,0.8,0.6186464285714282,0.6539806138871871,0.7354730604658641,0.7251742467354843
14,0.8,0.6156404761904752,0.6475668684803502,0.7224588244247058,0.6999053836704242
15,0.75,0.6064853174603173,0.611327729106314,0.6927671609010755,0.6243613907844512
16,0.75,0.6081702380952383,0.6307818065510761,0.6973127356186458,0.614760689957585
17,0.75,0.5996059523809517,0.6055482484535052,0.6530044515433036,0.6809724827209884
18,0.7,0.5843623015873016,0.5919078905414407,0.661522522473217,0.6427545802178729
19,0.7,0.5786460317460318,0.5867445116699807,0.6591583753346673,0.6384521749226713
20,0.7,0.5776698412698413,0.5793585195441031,0.6537267025160409,0.6024453441840262
