,pi,mv,em,g,g_f
0,1.0,0.7027047619047616,0.8145036043097786,0.877746689223813,0.8554892400658956
1,1.0,0.6991281746031738,0.809304512525472,0.8532438196105938,0.8442188590818975
2,1.0,0.7008396825396825,0.8020743391467106,0.8522904876323967,0.8209873762268843
3,0.95,0.6891753968253971,0.7881180237860608,0.8384675286207589,0.7847787820070529
4,0.95,0.6894376984126971,0.7883294025293296,0.8507004735811969,0.7792191653797216
5,0.95,0.6945222222222218,0.7960661343708683,0.8517207087306151,0.777978401232629
6,0.9,0.6792952380952378,0.766848483775423,0.8133647848346298,0.7645950816780289
7,0.9,0.6749134920634913,0.7607946882556882,0.8302824164069058,0.8140745309796136
8,0.9,0.6797130952380942,0.769665303056151,0.8377252488899257,0.8251964435002691
9,0.85,0.6711781746031746,0.752015269532778,0.8075504981656694,0.7529126280046109
10,0.85,0.6686488095238095,0.7494549534402346,0.8297630711156504,0.8319903647734804
11,0.85,0.6738785714285702,0.759973574917312,0.8204533672767675,0.7635417877655089
12,0.8,0.6700293650793642,0.7473482859034994,0.8068658548635066,0.8015889282330215
13,0.8,0.6596051587301586,0.7371719845884952,0.7842698304686438,0.7717913386453603
14,0.8,0.6621686507936508,0.7302762234618381,0.7894482449947696,0.7885573963445297
15,0.75,0.6566436507936505,0.7155067731213356,0.7884546765265554,0.7444118694773517
16,0.75,0.6588333333333338,0.7382206273373652,0.7941610942629742,0.7503181238494517
17,0.75,0.6568599206349197,0.7254211467891484,0.7865952383866213,0.7792097375172569
18,0.7,0.6452388888888885,0.6999426146151442,0.7827151342375325,0.7251898152130897
19,0.7,0.6349857142857144,0.6862830167380971,0.7482018002554771,0.7412527613058733
20,0.7,0.6452503968253968,0.7099536062797653,0.782472246134997,0.7443560148400535
0,1.0,0.7066111111111103,0.8145042094419221,0.8602329768870026,0.6693080579091675
1,1.0,0.696419444444444,0.8008943811443678,0.8495128675775317,0.8439494253022859
2,1.0,0.7045535714285713,0.820722380520123,0.8783117467194007,0.8619990598891057
3,0.95,0.6800488095238084,0.7687080182866801,0.8444042002673043,0.7485793439210203
4,0.95,0.6931753968253965,0.796521196952428,0.8553312217680238,0.7003878872121931
5,0.95,0.6858773809523793,0.7833392370267488,0.8479940929307499,0.7105916126449788
6,0.9,0.6554869047619054,0.7234721461762738,0.7728788560815052,0.7219231236633783
7,0.9,0.670223015873015,0.750735253738555,0.821910853800242,0.796511637373164
8,0.9,0.660787698412699,0.7337723942307167,0.7860192834608908,0.7902912812141241
9,0.85,0.6409809523809522,0.6971451551795741,0.7689394005988296,0.7372385033566939
10,0.85,0.6363055555555549,0.6950417004370215,0.7538738203595938,0.7421708660745476
11,0.85,0.6351365079365073,0.672866475446412,0.7621415213457536,0.6837707326959971
12,0.8,0.6222488095238093,0.6536549638854117,0.7160928920380458,0.6664675818793238
13,0.8,0.6172587301587302,0.6470064890170248,0.7456320731816407,0.6971494292081554
14,0.8,0.617873015873016,0.6523418020927874,0.7314092222480558,0.6330094020922854
15,0.75,0.589900793650794,0.6010041739265024,0.6704959461695154,0.624100066767949
16,0.75,0.596070238095238,0.6118464355794125,0.6795557307389368,0.680278952465243
17,0.75,0.6120730158730158,0.6281404384447395,0.677114185013229,0.6574619897279909
18,0.7,0.5857246031746034,0.5920695797663298,0.6624133973547557,0.6534740086815478
19,0.7,0.566978968253969,0.5559796899998491,0.5827499304434363,0.6004632060637463
20,0.7,0.582890476190476,0.5652409828717486,0.6255599442695419,0.6474066804163648
0,1.0,0.70065,0.8088793182977865,0.8605579382663251,0.8010075427789628
1,1.0,0.699704365079363,0.8043305378166061,0.8609249629143433,0.849999483197012
2,1.0,0.699488492063492,0.801811205037877,0.8527925875128283,0.8303487259943759
3,0.95,0.70226507936508,0.8049451394698508,0.8534525074269294,0.8052062951553337
4,0.95,0.6862023809523807,0.7834395097015281,0.8294004186589641,0.7667542937532701
5,0.95,0.688861507936508,0.785676461382349,0.8313928938004131,0.7939965805982816
6,0.9,0.6864349206349201,0.7768965498340975,0.8344659374566703,0.8023834594216973
7,0.9,0.6888575396825393,0.7875848027369263,0.8334629789004305,0.8363043186016403
8,0.9,0.6874805555555548,0.7806194326906232,0.8388462224288521,0.8060545488234254
9,0.85,0.6854726190476181,0.7754966476273353,0.8334519492732728,0.7711244262955417
10,0.85,0.6809138888888879,0.7772103521420396,0.844432499853745,0.804559315609208
11,0.85,0.6696936507936508,0.7552288047502193,0.7985876753196667,0.7635579625403407
12,0.8,0.6783896825396826,0.7653085335998335,0.8183081805620438,0.8117756244618018
13,0.8,0.6574087301587298,0.7320685519100065,0.7871394267927159,0.7646009228573678
14,0.8,0.6597611111111108,0.7377421786082696,0.8069658449935584,0.758105548009652
15,0.75,0.6505841269841262,0.7213865832357752,0.7966692537883181,0.7854842284314721
16,0.75,0.6424123015873004,0.6982497018181733,0.7981823633647603,0.7759371993535865
17,0.75,0.6465353174603173,0.7116044287483686,0.7756305988604738,0.7453699213083006
18,0.7,0.6327753968253963,0.678787200335555,0.7397907728985644,0.6985977949959915
19,0.7,0.6498976190476179,0.7083883330076708,0.7883572117563645,0.7717962976118631
20,0.7,0.64251626984127,0.6944137153546822,0.7886767988794634,0.7579056882405681
0,1.0,0.6951817460317444,0.8016890759406631,0.8601775809395719,0.8218651259350102
1,1.0,0.6965015873015861,0.7983383047974459,0.850206881942133,0.7913933185026647
2,1.0,0.7092468253968246,0.8233939651864498,0.879082784577864,0.8343741682589865
3,0.95,0.6914960317460308,0.7893365933292017,0.8462101520800094,0.7869460462422764
4,0.95,0.7019694444444448,0.8104460591517973,0.8631150313451823,0.8331893827736009
5,0.95,0.6952452380952386,0.7939383962403475,0.8519658949867663,0.8196414256402941
6,0.9,0.6778349206349202,0.7708261358548578,0.8471603282553815,0.8260088499375453
7,0.9,0.6807579365079353,0.7686662930865341,0.8282308238304582,0.7962249544334662
8,0.9,0.6861400793650791,0.7850623735460915,0.8458598147109727,0.7840388053081703
9,0.85,0.6655075396825393,0.7406313523365112,0.7905787848664075,0.7646376048597158
10,0.85,0.6753825396825383,0.763967855965795,0.8201854758473507,0.8090283615362873
11,0.85,0.6709380952380944,0.7543231998987141,0.8200888633239085,0.7930669982540729
12,0.8,0.6656329365079361,0.7428029843094532,0.79798449752475,0.788973150840677
13,0.8,0.6573166666666664,0.728258539466397,0.7921013268014018,0.7558302716670827
14,0.8,0.6564400793650793,0.7303379907572395,0.7982766607552698,0.7864765752357623
15,0.75,0.6432226190476181,0.7001539813037406,0.758152149210742,0.7217009406828768
16,0.75,0.6465119047619042,0.7097415917647496,0.7979250934218067,0.755630309595291
17,0.75,0.6611301587301585,0.7305479355128845,0.8014043358216656,0.7605849610898282
18,0.7,0.6490011904761899,0.7084148797062872,0.7584119305693955,0.7318568356932513
19,0.7,0.6327289682539683,0.6768557761339226,0.7540762936393297,0.7265219052351977
20,0.7,0.6425726190476185,0.7015806137774202,0.7564448218501376,0.7299386103162124
