,pi,mv,em,g,g_f
0,1.0,1.0,1.0,1.0,0.9920000000000002
1,1.0,1.0,1.0,1.0,1.0
2,0.95,0.9524222222222217,0.9979561316405424,0.998,0.998
3,0.95,0.9479571428571428,0.9977401054481568,0.9979998730863155,0.998
4,0.9,0.9010880952380947,0.9929950950836852,0.9940000103118294,0.9919999999999998
5,0.9,0.8923888888888888,0.9896568399615238,0.9902000439948495,0.9940000000000004
6,0.85,0.8586214285714284,0.9791035966780851,0.985661193349135,0.8747656379540155
7,0.85,0.853459523809524,0.9785459865435382,0.9839284302541962,0.9516290202345001
8,0.8,0.8064047619047611,0.9456181795798861,0.9576785379677236,0.9479999999172495
9,0.8,0.79844126984127,0.936632780116907,0.9443710127327061,0.9479999995626468
10,0.75,0.7552500000000003,0.8883439551397762,0.9095740950239879,0.8960000021731611
11,0.75,0.7289944444444448,0.8535824933485608,0.8914157869465159,0.8845687315682043
12,0.7,0.7131968253968255,0.8347186819626384,0.8632930661913901,0.8759999977510917
13,0.7,0.6980611111111112,0.8032200629310957,0.8668450888179269,0.7940113458434459
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,0.95,0.9487698412698403,0.999864144320827,1.0,0.9879999999999998
3,0.95,0.9552523809523804,0.9999691336492542,1.0,0.9751999996242653
4,0.9,0.898874603174603,0.9879921395653621,0.9919999185362098,0.9106015602373579
5,0.9,0.8927238095238094,0.9927095663197764,0.9979636743499452,0.9512177672981126
6,0.85,0.8480484126984128,0.9763764372321045,0.983981789078659,0.8983353213079631
7,0.85,0.8510603174603175,0.9762371141000158,0.9832493918040228,0.97
8,0.8,0.7899944444444448,0.9320942014546271,0.9581396761561354,0.9160388687229613
9,0.8,0.8039095238095241,0.9514960393685914,0.965914840934083,0.928201455749776
10,0.75,0.7407039682539687,0.875983967539637,0.9110896501275647,0.8612032019627154
11,0.75,0.7490095238095237,0.8876818885509205,0.9305311010151724,0.8493969923951568
12,0.7,0.6867690476190482,0.7851176584839488,0.8515938789473794,0.8119081197870239
13,0.7,0.708680158730159,0.8245680089174755,0.860844152489564,0.8370347555498234
2,0.95,0.9492349206349203,0.9986154923842235,0.9980001939648933,0.994
3,0.95,0.9489388888888886,0.9996760457290603,1.0,0.9620000000131673
4,0.9,0.8933388888888882,0.9911966343227047,0.9922849306307201,0.9940000000000244
5,0.9,0.901373809523809,0.9953228951728385,0.9979999999999596,0.9031926510459897
6,0.85,0.8451158730158729,0.969563875402375,0.9778518807523284,0.9478481147385022
7,0.85,0.8513222222222225,0.9828460677089159,0.9913558624763879,0.9324051657350537
8,0.8,0.8011452380952375,0.93390124599355,0.9453193661152224,0.9200000060336648
9,0.8,0.7938365079365075,0.929554324820142,0.9521389506893098,0.9310616773021143
10,0.75,0.7455047619047616,0.8864824866844769,0.920809037007019,0.8201012448710943
11,0.75,0.7451706349206347,0.8854127541056814,0.9113557329551014,0.906000193418372
12,0.7,0.6989079365079367,0.8096534035176202,0.8526860142752574,0.7960128977458587
13,0.7,0.6897484126984129,0.7777835089765093,0.8527258861799837,0.769838485439591
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,0.95,0.9502158730158724,0.9998579570030902,1.0,0.97
3,0.95,0.9538865079365081,0.9995603155293129,1.0,0.9309535404842088
4,0.9,0.8997190476190476,0.9925368253950677,0.9926108629954422,0.99
5,0.9,0.9061920634920626,0.995910922436111,0.9979994038005779,0.9446037274806043
6,0.85,0.8640658730158726,0.9796668618290504,0.984079757282361,0.9800000000000002
7,0.85,0.8563619047619044,0.9734006848308444,0.979304761261264,0.957895785858946
8,0.8,0.8069253968253969,0.9462072757229525,0.9631316450400778,0.9200000000000153
9,0.8,0.8054039682539682,0.9366228270632906,0.9537859154065128,0.9499999630808155
10,0.75,0.7445214285714292,0.8770532575459291,0.9136702637023374,0.8176520553194152
11,0.75,0.7427674603174602,0.872084117188284,0.8996870921762625,0.8559755451019466
12,0.7,0.7036626984126984,0.8211071739577497,0.8624744339420138,0.8548681487374813
13,0.7,0.6855142857142861,0.7820949527184783,0.8262690059021687,0.8279931817650527
